gene_ko,RNA_ID,Monomer_ID,Process,KO_index
selD,EG10943_RNA,EG10943-MONOMER,Metabolism,928
serA,EG10944_RNA,PGLYCDEHYDROG-MONOMER,Metabolism,929
serB,EG10945_RNA,PSERPHOSPHA-MONOMER,Metabolism,930
serC,EG10946_RNA,PSERTRANSAM-MONOMER,Metabolism,931
maeA,EG10948_RNA,MALIC-NAD-MONOMER,Metabolism,933
slt,EG10950_RNA,EG10950-MONOMER,Metabolism,935
sodA,EG10953_RNA,SUPEROX-DISMUTMN-MONOMER,Metabolism,938
sodB,EG10954_RNA,SUPEROX-DISMUTFE-MONOMER,Metabolism,939
speA,EG10959_RNA,ARGDECARBOXBIO-MONOMER,Metabolism,944
speB,EG10960_RNA,AGMATIN-MONOMER,Metabolism,945
speC,EG10961_RNA,ORNDECARBOX-BIO-MONOMER,Metabolism,946
speE,EG10963_RNA,SPERMIDINESYN-MONOMER,Metabolism,948
speF,EG10964_RNA,ORNDECARBOXDEG-MONOMER,Metabolism,949
gmk,EG10965_RNA,GUANYL-KIN-MONOMER,Metabolism,950
spoT,EG10966_RNA,SPOT-MONOMER,Metabolism,951
trmH,EG10967_RNA,EG10967-MONOMER,Metabolism,952
srlE,EG10969_RNA,GUTA-MONOMER,Metabolism,954
srlB,EG10970_RNA,GUTB-MONOMER,Metabolism,955
srlD,EG10971_RNA,SORB6PDEHYDROG-MONOMER,Metabolism,956
gutQ,EG10973_RNA,EG10973-MONOMER,Metabolism,958
sucA,EG10979_RNA,E1O-MONOMER,Metabolism,964
sucB,EG10980_RNA,E2O-MONOMER,Metabolism,965
sucC,EG10981_RNA,SUCCCOASYN-BETA,Metabolism,966
sucD,EG10982_RNA,SUCCCOASYN-ALPHA,Metabolism,967
suhB,EG10983_RNA,EG10983-MONOMER,Metabolism,968
surA,EG10985_RNA,EG10985-MONOMER,Metabolism,970
tdcB,EG10990_RNA,THREDEHYDCAT-MONOMER,Metabolism,975
tdcC,EG10991_RNA,TDCC-MONOMER,Metabolism,976
tdh,EG10993_RNA,THREODEHYD-MONOMER,Metabolism,978
tdk,EG10994_RNA,TDK-MONOMER,Metabolism,979
tesB,EG10995_RNA,THIOESTERII-MONOMER,Metabolism,980
tgt,EG10996_RNA,EG10996-MONOMER,Metabolism,981
mnmE,EG10997_RNA,EG10997-MONOMER,Metabolism,982
thrA,EG10998_RNA,ASPKINIHOMOSERDEHYDROGI-MONOMER,Metabolism,983
thrB,EG10999_RNA,HOMOSERKIN-MONOMER,Metabolism,984
thrC,EG11000_RNA,THRESYN-MONOMER,Metabolism,985
thyA,EG11002_RNA,THYMIDYLATESYN-MONOMER,Metabolism,987
tig,EG11003_RNA,EG11003-MONOMER,Metabolism,988
tnaA,EG11005_RNA,TRYPTOPHAN-MONOMER,Metabolism,990
tnaB,EG11006_RNA,TNAB-MONOMER,Metabolism,991
tolC,EG11009_RNA,EG11009-MONOMER,Metabolism,994
tonB,EG11012_RNA,EG11012-MONOMER,Metabolism,997
tpiA,EG11015_RNA,TPI-MONOMER,Metabolism,1000
treA,EG11017_RNA,TREHALAPERI-MONOMER,Metabolism,1002
trkG,EG11020_RNA,TRKG-MONOMER,Metabolism,1005
trkH,EG11021_RNA,TRKH-MONOMER,Metabolism,1006
trmA,EG11022_RNA,EG11022-MONOMER,Metabolism,1007
trmD,EG11023_RNA,EG11023-MONOMER,Metabolism,1008
trpA,EG11024_RNA,TRYPSYN-APROTEIN,Metabolism,1009
trpB,EG11025_RNA,TRYPSYN-BPROTEIN,Metabolism,1010
trpC,EG11026_RNA,PRAI-IGPS,Metabolism,1011
trpD,EG11027_RNA,ANTHRANSYNCOMPII-MONOMER,Metabolism,1012
trpE,EG11028_RNA,ANTHRANSYNCOMPI-MONOMER,Metabolism,1013
trpR,EG11029_RNA,PD00423,Transcription Regulation,1014
trxA,EG11031_RNA,RED-THIOREDOXIN-MONOMER,Metabolism,1016
trxB,EG11032_RNA,THIOREDOXIN-REDUCT-NADPH-MONOMER,Metabolism,1017
tsx,EG11035_RNA,EG11035-MONOMER,Metabolism,1020
tyrA,EG11039_RNA,CHORISMUTPREPHENDEHYDROG-MONOMER,Metabolism,1024
tyrB,EG11040_RNA,TYRB-MONOMER,Metabolism,1025
tyrP,EG11041_RNA,TYRP-MONOMER,Metabolism,1026
tyrR,EG11042_RNA,PD00413,Transcription Regulation,1027
ubiX,EG11044_RNA,UBIX-MONOMER,Metabolism,1029
udp,EG11045_RNA,URPHOS-MONOMER,Metabolism,1030
ugpA,EG11046_RNA,UGPA-MONOMER,Metabolism,1031
ugpB,EG11047_RNA,UGPB-MONOMER,Metabolism,1032
ugpC,EG11048_RNA,UGPC-MONOMER,Metabolism,1033
ugpE,EG11049_RNA,UGPE-MONOMER,Metabolism,1034
ugpQ,EG11050_RNA,GLYCPDIESTER-CYTO-MONOMER,Metabolism,1035
uhpT,EG11054_RNA,UHPT-MONOMER,Metabolism,1039
uidA,EG11055_RNA,BETA-GLUCURONID-MONOMER,Metabolism,1040
ushA,EG11060_RNA,USHA-MONOMER,Metabolism,1045
uxaB,EG11065_RNA,ALTRO-OXIDOREDUCT-MONOMER,Metabolism,1050
uxuA,EG11066_RNA,MANNONDEHYDRAT-MONOMER,Metabolism,1051
xthA,EG11073_RNA,EG11073-MONOMER,Metabolism,1058
xylA,EG11074_RNA,XYLISOM-MONOMER,Metabolism,1059
xylB,EG11075_RNA,XYLULOKIN-MONOMER,Metabolism,1060
xylE,EG11076_RNA,XYLE-MONOMER,Metabolism,1061
ribF,EG11079_RNA,RIBF-MONOMER,Metabolism,1063
fkpB,EG11080_RNA,EG11080-MONOMER,Metabolism,1064
ispH,EG11081_RNA,EG11081-MONOMER,Metabolism,1065
rihC,EG11082_RNA,EG11082-MONOMER,Metabolism,1066
rsmH,EG11085_RNA,EG11085-MONOMER,Metabolism,1069
mtn,EG11090_RNA,EG11090-MONOMER,Metabolism,1074
acpH,EG11095_RNA,EG11095-MONOMER,Metabolism,1078
yajC,EG11096_RNA,EG11096-MONOMER,Metabolism,1079
aes,EG11101_RNA,EG11101-MONOMER,Metabolism,1084
gsk,EG11102_RNA,GSK-MONOMER,Metabolism,1085
entS,EG11104_RNA,YBDA-MONOMER,Metabolism,1087
entH,EG11105_RNA,EG11105-MONOMER,Metabolism,1088
aat,EG11112_RNA,EG11112-MONOMER,Metabolism,1093
trhO,EG11116_RNA,EG11116-MONOMER,Metabolism,1095
rluC,EG11118_RNA,EG11118-MONOMER,Metabolism,1097
yciA,EG11121_RNA,EG11121-MONOMER,Metabolism,1100
pncA,EG11135_RNA,NICOTINAMID-MONOMER,Metabolism,1114
nudB,EG11138_RNA,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,Metabolism,1117
ubiG,EG11143_RNA,DHHB-METHYLTRANSFER-MONOMER,Metabolism,1122
ygeA,EG11157_RNA,EG11157-MONOMER,Metabolism,1135
fau,EG11158_RNA,EG11158-MONOMER,Metabolism,1136
argO,EG11159_RNA,YGGA-MONOMER,Metabolism,1137
fumE,EG11162_RNA,EG11162-MONOMER,Metabolism,1140
ygiD,EG11166_RNA,EG11166-MONOMER,Metabolism,1143
zupT,EG11167_RNA,EG11167-MONOMER,Metabolism,1144
ttdA,EG11168_RNA,TTDA-MONOMER,Metabolism,1145
ttdB,EG11169_RNA,TTDB-MONOMER,Metabolism,1146
tsaD,EG11171_RNA,EG11171-MONOMER,Metabolism,1147
tdcD,EG11172_RNA,PROPKIN-MONOMER,Metabolism,1148
garK,EG11175_RNA,GKI-MONOMER,Metabolism,1151
garR,EG11176_RNA,TSA-REDUCT-MONOMER,Metabolism,1152
truB,EG11177_RNA,EG11177-MONOMER,Metabolism,1153
waaC,EG11189_RNA,EG11189-MONOMER,Metabolism,1164
coaD,EG11190_RNA,PANTEPADENYLYLTRAN-MONOMER,Metabolism,1165
xanP,EG11194_RNA,YICE-MONOMER,Metabolism,1169
yidA,EG11195_RNA,EG11195-MONOMER,Metabolism,1170
yidC,EG11197_RNA,YIDC,Metabolism,1172
glmU,EG11198_RNA,NAG1P-URIDYLTRANS-MONOMER,Metabolism,1173
yigB,EG11202_RNA,EG11202-MONOMER,Metabolism,1176
murI,EG11204_RNA,GLUTRACE-MONOMER,Metabolism,1178
murB,EG11205_RNA,UDPNACETYLMURAMATEDEHYDROG-MONOMER,Metabolism,1179
yjaB,EG11207_RNA,EG11207-MONOMER,Metabolism,1181
epmA,EG11211_RNA,EG11211-MONOMER,Metabolism,1185
zwf,EG11221_RNA,GLU6PDEHYDROG-MONOMER,Metabolism,1192
argH,EG11223_RNA,ARGSUCCINLYA-MONOMER,Metabolism,1194
dcuA,EG11225_RNA,DCUA-MONOMER,Metabolism,1196
leuA,EG11226_RNA,2-ISOPROPYLMALATESYN-MONOMER,Metabolism,1197
fdnG,EG11227_RNA,FDNG-MONOMER,Metabolism,1198
fdnH,EG11228_RNA,FDNH-MONOMER,Metabolism,1199
fdnI,EG11229_RNA,FDNI-MONOMER,Metabolism,1200
rpmI,EG11231_RNA,EG11231-MONOMER,Translation,1202
rpmJ,EG11232_RNA,EG11232-MONOMER,Translation,1203
ydiB,EG11234_RNA,EG11234-MONOMER,Metabolism,1205
pdeL,EG11236_RNA,EG11236-MONOMER,Metabolism,1207
ybhA,EG11239_RNA,EG11239-MONOMER,Metabolism,1210
yggF,EG11245_RNA,EG11245-MONOMER,Metabolism,1214
rlmD,EG11247_RNA,EG11247-MONOMER,Metabolism,1216
ldtD,EG11253_RNA,EG11253-MONOMER,Metabolism,1221
rlmH,EG11254_RNA,EG11254-MONOMER,Metabolism,1222
dgcC,EG11257_RNA,EG11257-MONOMER,Metabolism,1225
focA,EG11258_RNA,FOCA-MONOMER,Metabolism,1226
rnr,EG11259_RNA,EG11259-MONOMER,RNA Decay,1227
nfsA,EG11261_RNA,EG11261-MONOMER,Metabolism,1229
cmk,EG11265_RNA,CMPKI-MONOMER,Metabolism,1232
waaH,EG11266_RNA,EG11266-MONOMER,Metabolism,1233
fmt,EG11268_RNA,EG11268-MONOMER,Metabolism,1235
fabZ,EG11284_RNA,FABZ-MONOMER,Metabolism,1248
argE,EG11286_RNA,ACETYLORNDEACET-MONOMER,Metabolism,1250
mak,EG11288_RNA,EG11288-MONOMER,Metabolism,1252
preA,EG11289_RNA,EG11289-MONOMER,Metabolism,1253
loiP,EG11291_RNA,EG11291-MONOMER,Metabolism,1255
yghA,EG11292_RNA,EG11292-MONOMER,Metabolism,1256
lolB,EG11293_RNA,EG11293-MONOMER,Metabolism,1257
ispE,EG11294_RNA,EG11294-MONOMER,Metabolism,1258
dsbA,EG11297_RNA,DISULFOXRED-MONOMER,Metabolism,1261
yhdE,EG11298_RNA,EG11298-MONOMER,Metabolism,1262
rng,EG11299_RNA,EG11299-MONOMER,RNA Decay,1263
tatE,EG11305_RNA,EG11305-MONOMER,Metabolism,1268
lipA,EG11306_RNA,EG11306-MONOMER,Metabolism,1269
pdxI,EG11309_RNA,EG11309-MONOMER,Metabolism,1270
dusB,EG11311_RNA,EG11311-MONOMER,Metabolism,1272
rhaT,EG11313_RNA,RHAT-MONOMER,Metabolism,1274
purB,EG11314_RNA,ASL-MONOMER,Metabolism,1275
yhdH,EG11315_RNA,EG11315-MONOMER,Metabolism,1276
fabD,EG11317_RNA,MALONYL-COA-ACP-TRANSACYL-MONOMER,Metabolism,1278
fabG,EG11318_RNA,3-OXOACYL-ACP-REDUCT-MONOMER,Metabolism,1279
